iter	Passed	Remaining
425	2171	2926
426	2177	2922
427	2181	2915
428	2185	2908
429	2190	2904
430	2196	2899
431	2199	2891
432	2201	2882
433	2207	2878
434	2212	2873
435	2215	2866
436	2218	2857
437	2225	2856
438	2229	2848
439	2232	2841
440	2239	2838
441	2244	2834
442	2250	2829
443	2257	2826
444	2260	2819
445	2264	2812
446	2272	2811
447	2275	2803
448	2279	2796
449	2284	2792
450	2289	2787
451	2294	2781
452	2299	2777
453	2305	2772
454	2309	2765
455	2313	2760
456	2318	2755
457	2322	2747
458	2325	2741
459	2331	2737
460	2335	2730
461	2341	2726
462	2347	2722
463	2350	2715
464	2353	2708
465	2358	2702
466	2364	2698
467	2367	2691
468	2371	2685
469	2378	2682
470	2384	2678
471	2389	2672
472	2395	2669
473	2399	2662
474	2403	2656
475	2408	2651
476	2414	2647
477	2417	2639
478	2419	2631
479	2425	2627
480	2431	2623
481	2435	2616
482	2445	2617
483	2451	2613
484	2457	2609
485	2462	2604
486	2466	2598
487	2471	2593
488	2477	2588
489	2479	2581
490	2483	2574
491	2488	2569
492	2494	2565
493	2499	2559
494	2505	2556
495	2511	2552
496	2517	2547
497	2522	2542
498	2525	2535
499	2527	2527
500	2530	2520
501	2535	2515
502	2540	2510
503	2543	2502
504	2545	2495
505	2547	2487
506	2554	2483
507	2557	2476
508	2559	2469
509	2561	2461
510	2567	2456
511	2571	2451
512	2573	2443
513	2576	2435
514	2581	2430
515	2586	2425
516	2590	2420
517	2592	2412
518	2599	2408
519	2602	2402
520	2606	2396
521	2610	2390
522	2615	2385
523	2620	2380
524	2623	2373
525	2628	2368
526	2632	2362
527	2635	2356
528	2639	2349
529	2643	2344
530	2647	2338
531	2651	2332
532	2654	2325
533	2656	2317
534	2662	2314
535	2665	2307
536	2669	2301
537	2671	2293
538	2677	2290
539	2681	2283
540	2683	2276
541	2686	2270
542	2691	2265
543	2697	2261
544	2700	2254
545	2702	2246
546	2708	2242
547	2712	2236
548	2714	2229
549	2717	2223
550	2719	2216
551	2726	2212
552	2728	2205
553	2731	2198
554	2733	2191
555	2739	2187
556	2742	2181
557	2744	2174
558	2748	2168
559	2750	2161
560	2757	2157
561	2760	2151
562	2763	2145
563	2766	2138
564	2771	2134
565	2775	2128
566	2777	2121
567	2780	2114
568	2784	2109
569	2789	2104
570	2791	2097
571	2795	2091
572	2796	2084
573	2802	2079
574	2806	2074
575	2808	2067
576	2811	2061
577	2813	2054
578	2818	2049
579	2823	2044
580	2826	2038
581	2828	2031
582	2834	2027
583	2838	2021
584	2841	2016
585	2844	2009
586	2850	2005
587	2854	1999
588	2858	1994
589	2859	1987
590	2864	1982
591	2870	1977
592	2872	1971
593	2874	1965
594	2877	1958
595	2884	1955
596	2888	1950
597	2890	1943
598	2896	1939
599	2901	1934
600	2905	1928
601	2907	1922
602	2912	1917
603	2917	1912
604	2922	1908
605	2929	1904
606	2933	1899
607	2937	1893
608	2943	1890
609	2948	1884
610	2950	1878
611	2954	1872
612	2960	1869
613	2970	1867
614	2976	1863
615	2980	1858
616	2986	1854
617	2993	1850
618	2996	1844
619	3001	1839
620	3007	1835
621	3011	1830
622	3014	1824
623	3017	1818
624	3023	1813
625	3027	1808
626	3032	1804
627	3038	1800
628	3042	1794
629	3045	1788
630	3051	1784
631	3056	1779
632	3061	1775
633	3067	1770
634	3072	1766
635	3076	1760
636	3080	1755
637	3085	1750
638	3090	1746
639	3094	1740
640	3097	1734
641	3103	1730
642	3106	1724
643	3110	1719
644	3113	1713
645	3120	1709
646	3124	1704
647	3133	1702
648	3137	1696
649	3140	1690
650	3145	1686
651	3152	1682
652	3159	1678
653	3165	1674
654	3168	1668
655	3170	1662
656	3174	1657
657	3180	1652
658	3184	1647
659	3186	1641
660	3188	1635
661	3192	1630
662	3199	1626
663	3203	1620
664	3207	1615
665	3213	1611
666	3215	1605
667	3219	1600
668	3225	1596
669	3232	1592
670	3237	1587
671	3243	1583
672	3247	1577
673	3250	1571
674	3254	1566
675	3259	1562
676	3264	1557
677	3267	1552
678	3271	1546
679	3276	1541
680	3280	1536
681	3284	1531
682	3290	1527
683	3295	1522
684	3298	1516
685	3301	1511
686	3307	1506
687	3310	1501
688	3314	1496
689	3318	1491
690	3324	1486
691	3328	1481
692	3332	1476
693	3338	1471
694	3342	1466
695	3344	1460
696	3348	1455
697	3354	1451
698	3358	1446
699	3360	1440
700	3364	1435
701	3371	1431
702	3376	1426
703	3381	1421
704	3388	1417
705	3391	1412
706	3393	1406
707	3400	1402
708	3409	1399
709	3419	1396
710	3426	1392
711	3434	1389
712	3439	1384
713	3443	1379
714	3450	1375
715	3454	1370
716	3458	1365
717	3464	1360
718	3471	1356
719	3475	1351
720	3482	1347
721	3486	1342
722	3488	1336
723	3491	1330
724	3493	1325
725	3501	1321
726	3503	1315
727	3506	1310
728	3512	1305
729	3516	1300
730	3518	1294
731	3522	1289
732	3524	1283
733	3530	1279
734	3533	1274
735	3535	1268
736	3538	1262
737	3541	1257
738	3547	1252
739	3550	1247
740	3553	1242
741	3555	1236
742	3561	1231
743	3565	1226
744	3567	1221
745	3570	1215
746	3575	1211
747	3579	1206
748	3582	1200
749	3586	1195
750	3591	1190
751	3596	1186
752	3600	1180
753	3602	1175
754	3607	1170
755	3612	1165
756	3614	1160
757	3617	1154
758	3619	1149
759	3625	1144
760	3628	1139
761	3631	1134
762	3633	1128
763	3639	1124
764	3643	1119
765	3646	1113
766	3648	1108
767	3650	1102
768	3657	1098
769	3661	1093
770	3664	1088
771	3667	1083
772	3673	1078
773	3677	1073
774	3680	1068
775	3682	1063
776	3688	1058
