iter	Logloss
0	0.6744461403
1	0.6570386476
2	0.6411975974
3	0.6251886179
4	0.6095940168
5	0.5947738127
6	0.5794084287
7	0.5644743145
8	0.5506387542
9	0.5375339897
10	0.5261387515
11	0.5141968878
12	0.50244066
13	0.4908412672
14	0.4806144297
15	0.4702735554
16	0.4598516654
17	0.4494862434
18	0.440743557
19	0.4323802157
20	0.4247402279
21	0.415669547
22	0.4088702772
23	0.4016029604
24	0.3947706154
25	0.3869797178
26	0.3797290257
27	0.3727083075
28	0.3666399289
29	0.3600173384
30	0.3537872963
31	0.3476688604
32	0.3425629045
33	0.3371013002
34	0.3319855916
35	0.326627106
36	0.3217358836
37	0.3171059461
38	0.3132970614
39	0.3103947447
40	0.3064376849
41	0.3019723625
42	0.2979892706
43	0.2957643357
44	0.2918202655
45	0.2882930017
46	0.2849608507
47	0.2817270392
48	0.2794248443
49	0.2758285325
50	0.2726355256
51	0.2697786201
52	0.2676447346
53	0.2650528064
54	0.2624436357
55	0.2603568592
56	0.2580724124
57	0.2559948114
58	0.2546469476
59	0.253013657
60	0.2515617415
61	0.2507255205
62	0.248998051
63	0.2475702432
64	0.2451996185
65	0.2429334616
66	0.2408015933
67	0.2396492145
68	0.2377467254
69	0.2357236327
70	0.234535788
71	0.2333475973
72	0.2322437974
73	0.2307862639
74	0.2297190127
75	0.2290296592
76	0.2277450908
77	0.2267185344
78	0.2252789471
79	0.2246577184
80	0.2238598192
81	0.2231899202
82	0.2226139045
83	0.2214248759
84	0.2205917099
85	0.2198185924
86	0.2190157599
87	0.2185260275
88	0.2170642606
89	0.2164136814
90	0.2156044408
91	0.2147714822
92	0.2142615131
93	0.2137362586
94	0.2126403126
95	0.2118325344
96	0.2109041954
97	0.2102611051
98	0.2096172128
99	0.2090632473
100	0.2084020305
101	0.2078194667
102	0.2073515853
103	0.2068790666
104	0.2063929305
105	0.2059744606
106	0.2056564476
107	0.2051967828
108	0.2046823319
109	0.2041733513
110	0.2037782997
111	0.2030214036
112	0.202546901
113	0.2022027389
114	0.2018183456
115	0.2014511168
116	0.2006183745
117	0.2001528987
118	0.1998829867
119	0.1995327988
120	0.1990316704
121	0.1985387434
122	0.1981201987
123	0.1977373861
124	0.1973544383
125	0.1968930214
126	0.1964805052
127	0.1954673639
128	0.1948657191
129	0.1943950676
130	0.1941673227
131	0.1937389839
132	0.1934367351
133	0.1928123134
134	0.1921983484
135	0.1914105956
136	0.1910255102
137	0.1907361228
138	0.1903367156
139	0.189889772
140	0.1895260531
141	0.1892624257
142	0.1890047464
143	0.1886530897
144	0.1883432484
145	0.187986181
146	0.1877583505
147	0.1874702657
148	0.1870478469
149	0.1866249002
150	0.1862894378
151	0.1859458892
152	0.1854440001
153	0.1851893291
154	0.1849176357
155	0.1846694782
156	0.1843159529
157	0.1840952943
158	0.1837992163
159	0.1835202379
160	0.1831572879
161	0.1827204627
162	0.18209782
163	0.1817819968
164	0.1814439026
165	0.1811350373
166	0.1808583897
167	0.1805799084
168	0.1801744087
169	0.1797184813
170	0.1794570844
171	0.1792660079
172	0.1789399629
173	0.1786006012
174	0.1782452159
175	0.1779257357
176	0.177567396
177	0.1772552531
178	0.177038041
179	0.1767796715
180	0.1765262794
181	0.176267037
182	0.1758848218
183	0.1755826708
184	0.1750870211
185	0.1747752518
186	0.1745390469
187	0.174330306
188	0.1739584379
189	0.1736141017
190	0.1732767813
191	0.1731283165
192	0.1728542222
193	0.1726242199
194	0.1723695303
195	0.1720346154
196	0.1715447332
197	0.1713500408
198	0.1710590429
199	0.1708813034
200	0.1705833576
201	0.1702051083
202	0.1699689141
203	0.1697074475
204	0.1693768719
205	0.1691343957
206	0.1689621438
207	0.1687087992
208	0.1685081157
209	0.1682168047
210	0.1678700135
211	0.1673802126
212	0.1669975043
213	0.1666292491
214	0.1664482264
215	0.1661891475
216	0.1659798045
217	0.165697471
218	0.1654757679
219	0.1651412861
220	0.1648560797
221	0.164472639
222	0.1642865182
223	0.163907414
224	0.1635828236
225	0.1633125732
226	0.1630274462
227	0.1627744461
228	0.1625798046
229	0.162273838
230	0.1620496916
231	0.1617480604
232	0.1615213815
233	0.161230191
234	0.1610138547
235	0.1608210036
236	0.1604822913
237	0.1602230629
238	0.1599984568
239	0.1598498918
240	0.159548099
241	0.1593512237
242	0.1590203656
243	0.1587164729
244	0.1585237868
245	0.1583405958
246	0.1581058811
247	0.1577544717
248	0.157648375
249	0.1573980477
250	0.1572164497
251	0.157063574
252	0.1568042464
253	0.1566658475
254	0.156432873
255	0.1562678848
256	0.1561722364
257	0.1559630817
258	0.155712013
259	0.1554370387
260	0.1552591104
261	0.1550677854
262	0.1547558618
263	0.154598574
264	0.1544440549
265	0.1542778746
266	0.1540818252
267	0.1537366726
268	0.1534440146
269	0.1532288553
270	0.1530109673
271	0.152824875
272	0.1525487049
273	0.1524651018
274	0.1521802356
275	0.1518730081
276	0.1516282436
277	0.1514651535
278	0.1512883299
279	0.1511182883
280	0.1509163629
281	0.1507595132
282	0.1505878745
283	0.1503707822
284	0.1501826706
285	0.1500186951
286	0.1497887436
287	0.1495942387
288	0.149333089
289	0.1490741649
290	0.1488821001
291	0.1486385325
292	0.1483268511
293	0.1481043941
294	0.1478903363
295	0.1477305624
296	0.1476050683
297	0.1474492719
298	0.1472152792
299	0.1469802885
300	0.1467583593
301	0.1465124451
302	0.1462214215
303	0.146040383
304	0.1458882228
305	0.1456760618
306	0.1453949568
307	0.1452269993
308	0.1449604321
309	0.1447525152
310	0.1445113194
311	0.1443158453
312	0.1440346397
313	0.1438049682
314	0.1436096904
315	0.1434077632
316	0.1432828955
317	0.1430573147
318	0.1428079482
319	0.1426268996
320	0.1424221367
321	0.1423058319
322	0.1421041594
323	0.1418658143
324	0.1415853081
325	0.1413972419
326	0.1412088951
327	0.1410487187
328	0.14083776
329	0.1405585526
330	0.1404439168
331	0.1401760457
332	0.139682342
333	0.139525384
334	0.139378406
335	0.1391427175
336	0.138923611
337	0.1387612322
338	0.1385802425
339	0.1384185041
340	0.1382226007
341	0.1381508359
342	0.1380004381
343	0.137799495
344	0.137642033
345	0.1375249034
346	0.1373533919
347	0.1371241958
348	0.1369653178
349	0.1368082575
350	0.1365864123
351	0.1364351129
352	0.1362479811
353	0.1360633974
354	0.1358261778
355	0.135611013
356	0.1354295864
357	0.1352478487
358	0.1349602139
359	0.1346952475
360	0.1344811164
361	0.1343109952
362	0.1341163336
363	0.13385941
364	0.133705306
365	0.1335298446
366	0.1334139145
367	0.133192014
368	0.1329601032
369	0.132840932
370	0.132685503
371	0.1324312147
372	0.1322380487
373	0.1319779951
374	0.1317843241
375	0.1315674662
376	0.1313186346
377	0.1311266562
378	0.1309557518
379	0.1308313262
380	0.130689592
381	0.1304092509
382	0.130181124
383	0.1299832323
384	0.1297379897
385	0.1294808081
386	0.1293318747
387	0.1291190343
388	0.1289572444
389	0.1287318421
390	0.1284619594
391	0.1282765916
392	0.1281779999
393	0.1280918813
394	0.1279919007
395	0.1278573477
396	0.1277390582
397	0.127584177
398	0.1272643593
399	0.1271287816
400	0.1269723499
401	0.1267791736
402	0.1265667136
403	0.1264471747
404	0.1262842877
405	0.126050749
406	0.1258521883
407	0.1256657572
408	0.1254757268
409	0.1253080745
410	0.1251005285
411	0.1246550827
412	0.1244344547
413	0.1240263237
414	0.1238625545
415	0.123692136
416	0.1236426173
417	0.1235333956
418	0.1233550543
419	0.1231748914
420	0.1229877173
421	0.122812509
422	0.1225678774
423	0.1224048196
424	0.1221587252
425	0.1220487063
426	0.1218144327
427	0.1216597342
428	0.1215012128
429	0.1213916837
430	0.121271157
431	0.1211308117
432	0.120937905
433	0.1208122582
434	0.1207021755
435	0.1205699405
436	0.1204644567
437	0.1202904262
438	0.1200911934
439	0.1200168734
440	0.1199216109
441	0.119729923
442	0.1195115798
443	0.119328052
444	0.1191513172
445	0.1190040098
446	0.1187783366
447	0.1185716471
448	0.118358564
449	0.1181785652
450	0.1179713277
451	0.1176029502
452	0.11750506
453	0.11741804
454	0.117237072
455	0.1170908448
456	0.1169266539
457	0.1168327394
458	0.1166907177
459	0.1164948363
460	0.1162922151
461	0.1161206227
462	0.115995448
463	0.1158493029
464	0.1157478032
465	0.1155374563
466	0.11521301
467	0.1150163692
468	0.1148438294
469	0.114724484
470	0.1142382245
471	0.1141014935
472	0.1140081184
473	0.1137690308
474	0.1136732718
475	0.1135806464
476	0.1134021501
477	0.1132341906
478	0.1131094177
479	0.1130253024
480	0.112923126
481	0.1128103994
482	0.1125846817
483	0.1124092246
484	0.1122611651
485	0.1120480955
486	0.1119389792
487	0.1116928255
488	0.1115120452
489	0.1112923306
490	0.1110897361
491	0.1109869556
492	0.110857633
493	0.1106946538
494	0.1105464741
495	0.1104034865
496	0.1101968375
497	0.1100774886
498	0.1099435229
499	0.1097329321
500	0.1095651817
501	0.1094438524
502	0.1093054282
503	0.1091364972
504	0.1088774688
505	0.1087170657
506	0.108508603
507	0.1083496
508	0.1082149983
509	0.1081022339
510	0.10797606
511	0.1078284256
512	0.1076462258
513	0.1075356002
514	0.1073494494
515	0.1071424132
516	0.1069578981
517	0.1069261904
518	0.1068752606
519	0.1067014952
520	0.1065121668
521	0.1063746136
522	0.105959117
523	0.1059065799
524	0.1058444444
525	0.1056897341
526	0.1055204102
527	0.1053574091
528	0.1052026286
529	0.1050304727
530	0.1048658803
531	0.1047318673
532	0.1046701646
533	0.104584434
534	0.1044973555
535	0.1043876961
536	0.1042518506
537	0.1041570928
538	0.1040216186
539	0.1039243159
540	0.1037490669
541	0.1035343579
542	0.1034297759
543	0.1033171158
544	0.1032586794
545	0.1031709625
546	0.1030831441
547	0.1029217348
548	0.1027962808
549	0.1026176323
550	0.1025686841
551	0.1025104989
552	0.1023764645
553	0.1021825656
554	0.1019414988
555	0.101765323
556	0.101669174
557	0.1015320321
558	0.1013693196
559	0.1012489676
560	0.1010951973
561	0.1009028594
562	0.1008124
563	0.1005620926
564	0.100436683
565	0.1003262778
566	0.09991324334
567	0.09981750551
568	0.09967217126
569	0.0996090546
570	0.09950269878
571	0.09938425786
572	0.09921797989
573	0.09878227788
574	0.09867153524
575	0.09859503968
576	0.09854627771
577	0.09810501063
578	0.09797354124
579	0.0978492639
580	0.09773563834
581	0.09731671941
582	0.09720372392
583	0.0971554492
584	0.09702523135
585	0.09685483277
586	0.09674588353
587	0.09655257306
588	0.09646448587
589	0.09629903421
590	0.09606409395
591	0.0958663958
592	0.09575953095
593	0.09566330341
594	0.09555039365
595	0.09538262455
596	0.09530429031
597	0.09518824227
598	0.09507202941
599	0.09494880199
600	0.09485597507
601	0.09475186169
602	0.09463977481
603	0.09444691671
604	0.09427368426
605	0.09394674211
606	0.09390049738
607	0.09381026732
608	0.09376483356
609	0.09374113581
610	0.09365803373
611	0.09358260752
612	0.09350193792
613	0.09344325712
614	0.09326735807
615	0.09309357453
616	0.092945086
617	0.0928427467
618	0.09248030207
619	0.09235803175
